web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
1578845555-1252,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,funmobilellc,slow ony 3 g not 4g,"Reviewed in the United States on July 30, 2019",drop calls nobody can hear me no internet conection very bad,1,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews
1578845531-1162,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nelson Eduardo Ponge Macalo,Great Deal,"Reviewed in the United States on July 24, 2019",Great Deal = Great Product,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1578845542-1204,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,yeraldi fernandez rodriguez,Me encanta Huawei ??,"Reviewed in the United States on December 29, 2019","Excelente teléfono!!!! Por ese precio, es realmente bueno. Muy recomendable??",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
1578845540-1200,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Benjamin,Good price,"Reviewed in the United States on August 11, 2019",Great phone,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
1578845535-1181,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,jason,performance  and look,"Reviewed in the United States on January 8, 2020","Good phone,good performance very satisfied so far.",5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
1578845552-1249,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,onion,GPS problems after a while.,"Reviewed in the United States on November 8, 2019","I have had the phone for 2 years suddenly GPS stopped working. Tried every fix, deleted many apps. Disallowed location to many apps, My brother has the same phone and has the same problem. Google the problem and you will see the thousands of hits and complaints. Talked to Huawei, they gave me the usual fixes all of which I tried.",2,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&pageNumber=16&reviewerType=all_reviews
1578845540-1197,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,jay,Nice,"Reviewed in the United States on July 1, 2019",Good,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
1578845531-1170,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Teo,Item as described,"Reviewed in the United States on October 18, 2019",Item as described,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews
1578845533-1176,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gustavo D.,Good Phone,"Reviewed in the United States on October 29, 2019",Reliable phone,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews
1578845545-1214,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ivan,Excelente celular,"Reviewed in the United States on October 31, 2019",Superó mis expectativas,5,Next page?,https://www.amazon.com/Huawei-Display-Factory-Unlocked-MAR-LX3A/product-reviews/B07Q2WYT47/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
